@relation Cluster3D

@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
-0.065474,-0.494264,-1.421493
3.431246,0.469375,-0.016719
2.660766,0.380884,0.266659
-0.393419,0.831298,0.384666
-0.345024,-0.321252,0.907774
3.069382,-0.035322,0.368687
-0.070113,-0.354712,0.931627
-0.518357,-0.284339,0.761729
0.017796,-0.979306,-1.151443
2.357975,-0.141847,-0.01917
-0.199527,0.294187,-0.929788
0.639412,0.717016,0.243322
-0.139638,0.68141,-0.716709
2.757369,0.072046,-0.046643
0.061294,0.171674,0.025443
-0.01948,-1.056023,-1.075225
0.082772,0.229115,0.337103
2.16384,0.562988,0.052645
0.703675,-0.51367,0.452146
-0.025367,1.447836,-0.459887
2.640964,-0.048873,0.467715
1.017528,-0.168354,0.061558
0.794716,0.227042,0.525196
-0.806095,0.374698,0.466216
-0.115493,-0.899106,-0.405726
-0.41862,-0.845136,-0.41132
3.009116,0.099025,-0.058155
-0.076093,1.332083,-0.641515
0.246266,0.806193,-0.501517
-0.04307,-0.474235,-1.441388
3.047156,-0.229899,-0.008544
3.825915,0.016609,-0.124947
-0.693412,0.555117,-0.437194
0.789808,-0.493012,0.313791
3.645637,0.164821,0.168361
2.849916,-0.103177,-0.052467
-0.017615,1.323951,0.728507
2.294768,-0.667147,0.010196
2.654436,-0.441451,0.68766
-0.01594,-1.088796,-1.018966
2.275141,0.059846,0.538334
0.450538,0.558612,0.674158
0.327198,0.847644,-0.488924
-0.571355,-0.761848,0.322509
-0.030709,-0.282126,-1.455583
0.05823,-0.487617,1.433885
3.089646,0.40344,-0.853471
0.650482,0.759184,0.007982
-0.45478,-0.664903,0.586984
2.912633,-0.021185,0.022005
3.369478,0.022599,-0.584534
-0.012023,-0.626666,-0.71997
3.343254,-0.151406,-0.409926
0.400498,-0.929254,0.115138
-0.068641,1.226166,-0.859586
-0.046579,-0.700963,-1.333585
0.006368,-0.924703,-1.16202
0.209838,0.858327,0.464582
-0.026432,-0.716601,-1.364255
0.085058,0.909715,0.495885
0.030352,1.311944,-0.83734
0.036999,-0.16641,-0.21955
-0.199769,0.369307,-0.936668
2.79201,-0.0316,-0.557413
3.113355,0.305492,-0.264495
2.853984,-0.341575,0.794225
2.881842,0.340556,0.208219
0.61786,0.663407,-0.390531
-0.277109,-0.540339,0.784015
0.052806,-1.356271,0.726121
3.164731,-0.125984,-0.742058
-0.074272,1.022365,-1.165607
0.049707,-0.985011,-0.389635
2.379654,-0.445243,-0.240239
0.03994,0.098495,1.525296
0.152391,-0.187419,-1.030645
2.2,-1.25,-0.4
3.334641,-0.323148,-0.693373
-0.037372,0.013993,-0.153396
-0.078994,-0.942163,0.300202
-0.012741,1.151424,-0.980444
0.995352,0.268721,-0.081978
0.214042,-0.809453,0.508494
0.409515,-0.853516,0.411919
-0.873142,0.293085,0.367827
-0.035897,1.480405,-0.103406
0.304337,0.139703,-0.238224
-0.084421,-0.952733,1.205956
0.666714,-0.126594,-0.704511
-0.028719,-1.53698,0.183242
2.268936,-0.120108,-0.342086
0.081233,0.109777,-1.530901
-0.302187,0.12665,0.89243
3.596951,0.394545,-0.081646
-0.760845,-0.401097,-0.530473
3.146445,0.087025,0.02343
0.070543,-0.618397,1.422099
0.780753,-0.064454,-0.659264
-0.090266,1.479946,-0.578315
0.09605,1.464593,0.563116
2.184674,0.650946,-0.092761
-0.816084,-0.639731,0.0513
0.020196,0.846763,1.283222
0.880433,-0.32956,0.143269
0.413839,-0.810881,-0.451735
-0.226,0.527524,-0.750255
2.962117,-0.906611,-0.254727
-0.058887,1.119753,1.02405
2.918628,0.01419,0.005872
3.256064,-0.036529,0.69104
0.027023,0.97164,0.165969
-0.099312,-1.401137,-0.604436
0.063514,-0.507817,-0.841567
0.555455,0.289827,0.8991
3.864169,-0.128177,-0.524976
0.012183,0.327722,0.977564
-0.078085,0.865423,1.291625
3.91118,-0.28483,0.289372
3.519838,-0.561286,-0.688333
2.62048,-0.287461,0.251356
-0.120663,0.798872,0.575469
-0.484231,-0.817881,0.296281
0.07693,0.682074,-1.311466
-0.04856,-0.326116,-1.458351
0.870979,0.398698,0.361711
2.463116,-0.071249,-0.000432
-0.42751,0.41176,-0.788975
-0.084488,-1.153522,1.006023
-0.055215,-1.561173,0.039877
0.012285,1.462942,0.084385
0.057742,-1.039106,-1.160151
-0.32821,-0.093979,-0.041312
-0.084615,1.472873,0.061373
3.301767,-0.146392,0.093531
0.591982,0.048744,0.844717
0.927085,-0.364704,-0.091196
-0.157063,0.973247,0.077691
-0.594008,-0.411855,0.658875
3.632665,-0.647398,-0.315071
0.505253,0.648212,-0.624319
2.427843,-0.409106,-0.062942
3.059313,-0.293276,-0.707394
-0.079535,0.083081,-1.503407
3.012448,0.002801,0.000951
2.114053,0.125698,0.396548
0.034262,-0.974148,0.418208
-0.124134,0.125267,0.04414
-0.02959,-1.022287,0.160261
-0.033844,0.394533,-0.222295
-0.03874,1.04819,-1.069996
0.138721,0.286026,-0.323862
2.550797,-0.302529,-0.057575
3.369887,-0.350888,0.601875
0.961397,-0.254644,-0.15921
-0.214851,0.159228,-0.959202
-0.005343,-1.170158,-0.952301
-0.067573,-0.966137,-0.258884
0.38682,-0.765966,0.46413
3.241694,0.562475,-0.061627
3.285123,-0.141152,-0.326894
-0.93,-1.34,0.2
0.186779,-0.110726,0.98723
0.90367,-0.164369,0.42291
0.090381,-0.954795,0.197453
-0.806826,-0.512279,0.293015
2.331687,-0.199126,0.062725
0.688786,-0.016429,0.6842
0.636832,-0.778474,0.135517
3.598212,0.013416,0.195256
2.612747,0.145693,-0.390172
3.099137,-0.015897,-0.177108
3.512885,0.263881,-0.028746
3.780887,0.432543,0.019809
-0.689375,0.666199,0.1528
-0.734707,-0.155243,-0.661811
-0.111638,0.677426,0.788218
3.472966,-0.088183,0.262062
2.738595,0.07475,0.332075
0.591349,0.612884,0.408106
2.76012,-0.27186,-0.556706
-0.092125,-1.330398,0.735398
3.149356,-0.145692,0.267928
0.062134,-0.892271,-1.235675
-0.233248,0.764649,-0.514515
3.566581,-0.672772,-0.342456
-0.075883,-0.476195,1.487683
3.223,-0.343707,-0.257223
2.966331,0.015774,-0.803826
-1.005524,0.059293,-0.144866
0.792177,0.616278,0.00125
0.443371,-0.52059,-0.786936
0.028165,-0.008217,0.273248
3.91359,-0.196945,-0.355557
0.013447,-1.022314,1.142129
3.119738,-0.488874,0.672897
2.644302,0.141144,0.194132
0.039196,0.792077,0.607251
-0.059599,1.450611,-0.021676
0.409144,-0.822807,-0.057143
0.002442,0.878235,-1.228222
-0.410395,-0.104763,0.889054
2.988569,0.441033,0.107066
0.273458,-0.489148,-0.809461
2.082808,0.303259,-0.272531
3.388175,0.009155,-0.024939
0.086162,1.465343,-0.269162
3.736871,0.541448,-0.273323
0.118574,0.963834,0.185846
0.916393,0.132955,0.397979
0.026809,-1.278846,0.744453
-0.190466,-0.725775,-0.633456
-0.007005,0.93962,-0.361875
0.537648,0.66565,0.548939
0.003144,-1.34531,-0.692388
-0.041627,1.3347,-0.606871
0.237519,-0.743241,0.664555
3.032979,0.983152,0.219122
2.315491,0.435367,0.446932
2.751751,-0.050089,-0.603753
2.157928,0.107547,0.277094
0.046165,-0.34238,-0.950315
0.680033,0.359145,-0.625728
0.042089,1.39582,-0.700236
-0.706728,0.429145,0.520402
0.623382,-0.524686,-0.623563
2.652972,-0.835953,-0.523232
3.456643,0.091277,0.366623
0.073741,-1.447954,0.610538
2.044348,0.304027,0.290944
-0.487096,-0.841102,0.210868
2.54796,-0.410806,0.764767
2.810692,0.415106,-0.13019
0.046266,-0.258978,1.541014
-0.981026,0.078836,-0.35165
3.116914,0.143667,0.022835
0.443355,-0.512547,0.711063
2.277393,0.536973,-0.147391
3.048138,0.362835,0.079447
2.995465,-0.242852,0.242946
0.04776,-1.499295,0.02042
-0.245112,-0.499284,0.781889
2.373759,-0.264489,-0.297344
3.730649,0.271612,-0.47972
2.710116,0.873637,-0.20129
2.370447,0.057715,0.320186
0.026898,0.251121,-1.497748
0.419574,0.645592,-0.620786
3.601924,0.045639,-0.040718
-0.551264,-0.448986,-0.6162
-0.250743,-0.137495,-0.097591
3.438409,0.447041,0.592222
0.026727,1.457294,-0.44495
-0.024669,1.55042,0.103619
-0.031345,1.29339,0.848024
3.200551,0.786228,-0.31503
-0.060732,-0.954055,1.23699
2.731285,0.233981,-0.058663
3.476984,-0.240645,0.404836
0.067657,1.519156,-0.121297
1.025492,0.035342,0.184402
-0.019693,0.632669,1.367591
0.040748,-1.395671,-0.572431
2.243132,-0.674106,-0.176758
-0.648934,-0.147811,0.798205
2.778891,0.366142,-0.347145
2.369046,-0.746991,0.066302
3.251883,0.052907,-0.663517
3.071336,-0.881582,-0.092303
-0.097942,-1.015339,0.028238
3.540035,0.509997,0.245111
-0.507991,0.831306,-0.076999
-0.046133,-0.936835,1.170916
0.93483,0.205753,-0.238351
0.449624,0.004988,-0.128741
2.442919,-0.056482,0.675803
3.141189,-0.300622,0.044378
0.016815,-0.835754,1.270605
2.869327,0.975679,0.208534
0.073057,1.493336,-0.272504
-0.038824,-0.694115,1.318619
-0.025959,1.463056,0.225016
-0.060276,-0.530761,1.431972
0.08016,-1.41512,0.684062
2.97262,-0.03583,-0.039783
0.229364,-0.95232,0.212986
2.479558,0.620859,0.59116
-0.492284,-0.72662,0.550772
-0.940086,0.223734,-0.374095
2.989693,0.457541,0.392794
2.960034,0.096401,-0.275381
3.114724,0.365854,-0.109751
-0.02959,1.459506,0.366761
2.934646,0.27327,-0.433948
2.921503,-0.449653,-0.372118
3.664439,0.168876,0.024389
-0.939799,0.060847,-0.379699
0.595877,0.726528,-0.320343
0.940516,-0.094802,0.345549
3.016298,0.30206,-0.168997
3.053336,-0.018781,-0.044167
2.413723,-0.060507,0.3144
0.239873,0.144137,-1.009966
-0.065976,0.031971,-1.482785
3.044803,0.417113,0.715548
0.030112,1.047367,-1.15985
-0.620898,0.730947,0.260377
-0.022917,0.609605,-1.344216
2.310663,-0.043342,-0.213818
0.010503,0.503459,1.465653
2.692064,0.452732,0.214556
-0.045368,-0.119456,0.036512
0.098451,-0.008451,1.453745
3.181359,-0.295433,0.635379
-0.048642,-0.213239,0.186185
2.857749,-0.006466,-0.160516
0.651166,-0.769033,-0.103344
-0.029124,0.309799,-1.489492
-0.011781,1.466272,-0.087775
3.439252,-0.49522,-0.778514
0.316832,-0.013139,0.384251
-0.638319,0.531133,-0.486227
-0.073491,-0.795761,1.250522
2.074066,-0.115033,0.058119
-0.011474,-0.178866,1.537676
-0.863171,0.22345,0.395705
-0.00306,-1.269597,0.84629
0.395106,0.19918,-0.811489
-0.309193,-0.51961,-0.765217
-0.068423,-1.179498,0.990442
-0.0989,-0.935871,0.263107
0.07312,-1.421741,-0.482689
1.004458,-0.198832,0.00215
0.01439,-0.451114,1.482066
0.080043,0.115147,1.498873
0.398727,-0.216345,-0.008665
-0.107511,0.277149,0.8887
0.118224,0.126954,0.94972
-0.000595,0.806321,-0.583575
-0.038376,1.345645,0.607776
-0.057589,-1.03187,-1.162203
-0.042931,-0.340214,-0.944089
3.275338,-0.436549,0.573087
0.056651,-0.337863,-1.504301
-0.518675,-0.835294,-0.080505
3.259981,-0.598211,-0.697689
0.492587,0.801082,0.298059
-0.975032,0.125902,-0.164934
2.15471,-0.213653,-0.085992
0.693077,-0.291693,0.616477
-0.024116,0.955816,0.353084
0.817102,-0.107617,0.589799
-0.05042,0.928177,1.150014
2.894001,-0.066749,0.611663
2.918612,0.233491,-0.188763
-0.747579,-0.588442,0.273211
-0.00995,0.666418,-1.35326
-0.080966,1.552891,0.228037
-0.134545,-0.261557,0.220717
0.818274,0.133739,-0.505987
-0.224578,-0.919916,-0.355586
-0.218805,0.105998,0.136568
-0.043023,0.38575,-1.477528
2.966006,0.4445,0.216482
0.041268,-0.331766,0.277182
-0.113547,-0.724706,0.647076
0.014218,0.780821,-1.325365
-0.008298,1.452786,-0.126134
0.008069,-1.576881,-0.142159
-0.092772,1.33063,-0.676674
-0.061397,-0.966246,-1.169445
-0.099604,-0.532497,1.405093
0.983697,0.050528,0.122546
-0.108057,0.979921,-0.241524
-0.973234,0.041419,0.143427
0.194641,0.978384,-0.247767
0.040117,-1.464226,-0.135124
3.468134,-0.442673,-0.02472
2.934792,-0.39277,0.055915
0.182037,-0.985774,-0.146813
0.035377,-1.427667,0.640021
3.498848,-0.021494,-0.835789
0.083776,0.729333,-1.337361
0.003072,1.399524,-0.531013
0.653613,-0.742545,-0.12074
0.898525,0.191439,0.496266
0.025572,-1.207976,0.854671
0.065568,0.347141,1.408806
2.877765,-0.251791,0.547175
2.869142,0.080583,-0.480675
3.100873,-0.59095,0.838526
3.201555,0.91483,0.221447
0.457729,-0.889926,-0.318345
2.858644,-0.219244,-0.527531
0.761277,-0.083807,-0.601958
-0.127164,0.053257,-0.327471
3.135541,-0.236968,0.204521
-0.035448,1.45131,-0.149139
0.027262,1.463093,-0.336398
-0.010239,1.14154,1.014042
-0.156564,-0.009186,-0.067027
0.059263,-0.010663,-1.017831
-0.771314,-0.020575,-0.631868
0.119354,0.837721,-0.5314
3.547029,0.14315,-0.749405
2.52709,0.258785,-0.222285
-0.413877,-0.050637,0.083893
2.470415,-0.109373,0.106293
0.072128,0.706857,1.324364
0.324886,-0.275545,-0.892161
-0.016275,1.52783,-0.006785
0.637681,0.615516,0.483324
-0.647779,0.590453,0.580182
0.924975,0.070768,0.201423
2.638637,-0.07147,0.054408
3.005438,0.906867,-0.352372
-0.641978,0.612783,0.359385
-0.029104,1.226984,0.87633
2.730593,0.350457,0.46331
-0.071977,-1.548933,0.391262
0.018931,-1.141688,1.063636
-0.895475,0.131097,-0.367801
-0.022055,1.311643,0.837003
-0.021106,0.535317,-1.425582
-0.367101,-0.541294,-0.730738
3.088621,0.018025,-0.404386
-0.253798,-0.834047,-0.532304
3.019863,-0.660561,-0.003514
2.697646,-0.543278,0.042424
-0.029996,1.50708,0.145507
-0.009498,0.044483,-0.101559
3.496058,0.228404,-0.422897
0.023938,-0.869306,0.528731
0.038564,1.45483,-0.166482
-0.042533,-1.500625,0.276318
3.032591,-0.460864,-0.10219
3.004973,-0.460765,0.027488
0.241403,0.292552,0.948308
0.800489,-0.537311,0.272352
2.674565,-0.22388,-0.891839
-0.021639,-1.28627,-0.83077
0.03098,0.354927,0.012017
0.956718,-0.233268,0.007912
2.531096,0.490331,0.070145
-0.314395,0.242986,-0.948206
3.099707,-0.868755,-0.259043
-0.027326,-0.749684,1.292759
3.32677,0.106939,0.266504
0.510076,0.204607,-0.867926
-0.002856,-0.78954,-1.242274
-0.707611,0.423569,0.574593
-0.203338,-0.095299,-0.135356
0.037784,1.377757,-0.619864
-0.902228,0.276751,0.210371
-0.680588,0.195485,0.696801
0.275662,-0.791795,-0.514341
0.029792,1.470167,0.528232
2.204591,-0.165668,-0.374297
-0.073124,0.37189,-1.470531
2.890925,0.540823,0.166842
0.264089,-0.921113,-0.27563
0.077603,1.453053,-0.447864
0.837002,0.053965,0.508639
-0.934052,0.014273,-0.227533
0.592447,-0.73338,-0.140697
0.029257,0.657634,1.336225
0.096336,-1.486363,0.133022
0.046325,-0.961035,1.184978
3.024018,0.00774,0.032928
0.814509,0.328816,-0.492709
-0.114433,0.931458,0.46042
0.755387,0.34309,-0.485668
3.470724,-0.594564,0.192897
0.246006,0.019965,-0.04756
0.003751,-0.405116,0.900059
3.037023,-0.118136,0.318093
0.059124,-0.80572,-1.253033
2.587308,0.438095,0.328796
-0.044273,-0.658309,1.321799
0.486577,0.855347,0.088818
2.231176,-0.12861,0.195501
-0.064175,0.720412,-0.627283
-0.088329,1.495051,-0.130758
-0.422191,0.782904,0.500301
-0.169792,-0.180748,0.266994
0.044005,-0.357322,1.528245
3.371365,0.519918,0.163908
-0.045099,-0.150734,-1.560381
0.97735,-0.295882,0.128963
2.691738,0.446519,0.668029
0.083582,0.232556,-0.96405
2.908367,-0.088822,-0.254768
-0.933006,-0.174235,-0.140357
3.166673,-0.309745,-0.689196
-0.21633,-0.451833,-0.862185
0.075422,-1.320993,0.741329
0.073629,1.465317,0.127106
3.421098,0.241237,0.177333
-0.069704,0.5157,1.384496
-0.612754,-0.261001,-0.823564
0.427148,-0.014328,0.193166
2.491944,0.421071,0.570552
2.583736,0.065363,0.438087
0.780896,-0.313964,0.493926
3.311528,-0.519341,-0.23021
0.001212,1.577261,0.057723
2.925907,-0.784336,-0.237878
2.893674,-0.457608,-0.30612
2.907118,-0.445708,0.701957
2.571204,-0.352263,0.763221
-0.162998,-0.478693,-0.906185
-0.341486,-0.131287,-0.071952
0.00959,1.562828,0.218555
0.765191,0.285091,-0.544811
-0.022654,0.739935,1.286107
0.009186,-1.170935,0.990385
-0.777051,0.615771,0.032781
-0.707899,-0.541478,0.449645
0.680311,-0.696503,-0.283248
0.628063,0.579374,-0.64611
-0.70342,0.735259,0.019382
3.282664,-0.29234,0.582866
0.327206,-0.352937,0.132973
3.154394,-0.023583,-0.921487
-0.017427,1.264071,-0.824553
2.900448,-0.381124,-0.446738
2.967242,0.13801,-0.034139
3.089291,-0.722853,0.396732
-0.085736,-1.227331,0.791129
-0.492682,-0.92327,0.172536
-0.089054,1.508261,0.235962
0.310506,0.535502,-0.831818
-0.007324,-0.009305,0.310384
-0.153451,-0.247686,0.079006
3.254843,0.727987,0.425995
2.550424,0.707811,-0.321719
0.081347,1.432582,0.477446
-0.879542,-0.49498,-0.257975
0.554162,0.671295,0.458384
-0.495041,-0.227992,-0.897103
0.015793,-1.100077,-1.013887
0.062119,-1.538611,0.122528
-0.022237,0.603883,1.456481
-0.005262,1.46443,0.312518
3.154852,-0.11108,0.539153
3.430518,-0.415108,-0.793752
2.954498,0.350975,0.62953
0.061361,-0.863404,-0.477961
-0.363839,-0.322286,0.115443
2.611672,0.384307,-0.551182
0.039903,-1.28388,0.750628
2.1744,0.039142,-0.128834
-0.850881,0.419089,-0.383926
0.063849,-0.095765,-1.528035
2.864238,-0.030731,0.728464
-0.013351,-1.336468,0.784053
